ticker,ex_div_date,dividend_amount,entry_date,entry_type,entry_price,exit_date,exit_price,holding_days,entry_vix,exit_vix,entry_zscore,entry_premium_discount,gross_return_bps,bid_ask_cost_bps,borrow_fee_bps,net_return_bps,won,regime,regime_calm,regime_stressed
PDI,2023-03-10,0.221,2023-03-09,t_minus_1_close,19.5,2023-03-16,18.63,5,22.61,22.99,0.9042356734692196,10.045150991084007,446.15,22.05,5.75,418.35,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-09,t_minus_1_close,19.5,2023-03-23,17.85,10,22.61,22.61,0.9042356734692196,10.045150991084007,846.15,22.05,11.51,812.6,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-09,t_minus_1_close,19.5,2023-03-30,18.14,15,22.61,19.02,0.9042356734692196,10.045150991084007,697.44,22.05,17.26,658.12,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-09,t_minus_1_close,19.5,2023-04-06,18.16,20,22.61,18.4,0.9042356734692196,10.045150991084007,687.18,22.05,23.01,642.11,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_open,19.25,2023-03-17,18.29,5,24.8,25.51,0.3054358421590173,7.881205840822118,498.7,22.34,5.75,470.61,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_open,19.25,2023-03-24,17.94,10,24.8,21.74,0.3054358421590173,7.881205840822118,680.52,22.34,11.51,646.67,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_open,19.25,2023-03-31,18.02,15,24.8,18.7,0.3054358421590173,7.881205840822118,638.96,22.34,17.26,599.36,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_open,19.25,2023-04-10,18.16,20,24.8,18.97,0.3054358421590173,7.881205840822118,566.23,22.34,23.01,520.88,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_close,18.89,2023-03-17,18.29,5,24.8,25.51,0.3054358421590173,7.881205840822118,317.63,22.76,5.75,289.11,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_close,18.89,2023-03-24,17.94,10,24.8,21.74,0.3054358421590173,7.881205840822118,502.91,22.76,11.51,468.64,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_close,18.89,2023-03-31,18.02,15,24.8,18.7,0.3054358421590173,7.881205840822118,460.56,22.76,17.26,420.54,True,Stressed (>20),False,True
PDI,2023-03-10,0.221,2023-03-10,ex_div_close,18.89,2023-04-10,18.16,20,24.8,18.97,0.3054358421590173,7.881205840822118,386.45,22.76,23.01,340.67,True,Stressed (>20),False,True
PDI,2023-04-12,0.221,2023-04-11,t_minus_1_close,18.15,2023-04-18,17.59,5,19.1,16.83,-0.6462276276739446,4.3103449220842585,308.54,23.69,5.75,279.09,True,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-11,t_minus_1_close,18.15,2023-04-25,17.98,10,19.1,18.76,-0.6462276276739446,4.3103449220842585,93.66,23.69,11.51,58.47,True,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-11,t_minus_1_close,18.15,2023-05-02,18.15,15,19.1,17.78,-0.6462276276739446,4.3103449220842585,0.0,23.69,17.26,-40.95,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-11,t_minus_1_close,18.15,2023-05-09,18.51,20,19.1,17.71,-0.6462276276739446,4.3103449220842585,-198.35,23.69,23.01,-245.05,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_open,18.02,2023-04-19,17.36,5,19.09,16.46,-0.6630732241011971,4.244183196835931,366.26,23.86,5.75,336.64,True,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_open,18.02,2023-04-26,18.03,10,19.09,18.84,-0.6630732241011971,4.244183196835931,-5.55,23.86,11.51,-40.92,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_open,18.02,2023-05-03,18.14,15,19.09,18.34,-0.6630732241011971,4.244183196835931,-66.59,23.86,17.26,-107.71,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_open,18.02,2023-05-10,18.32,20,19.09,16.94,-0.6630732241011971,4.244183196835931,-166.48,23.86,23.01,-213.36,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_close,17.93,2023-04-19,17.36,5,19.09,16.46,-0.6630732241011971,4.244183196835931,317.9,23.98,5.75,288.17,True,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_close,17.93,2023-04-26,18.03,10,19.09,18.84,-0.6630732241011971,4.244183196835931,-55.77,23.98,11.51,-91.26,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_close,17.93,2023-05-03,18.14,15,19.09,18.34,-0.6630732241011971,4.244183196835931,-117.12,23.98,17.26,-158.36,False,Normal (15-20),False,False
PDI,2023-04-12,0.221,2023-04-12,ex_div_close,17.93,2023-05-10,18.32,20,19.09,16.94,-0.6630732241011971,4.244183196835931,-217.51,23.98,23.01,-264.51,False,Normal (15-20),False,False
